file_index,file,channel,rms,peak,crest_factor,kurtosis,amp_1x,amp_2x,amp_3x,amp_FTF_hz,amp_BPFO_hz,amp_BPFI_hz,amp_BSF_hz,z_rms,z_crest_factor,z_kurtosis,z_amp_1x,z_amp_2x,z_amp_3x,z_amp_FTF_hz,z_amp_BPFO_hz,z_amp_BPFI_hz,z_amp_BSF_hz,health_indicator,onset_flagged
0,2004.02.12.10.32.39,ch1,0.07417899856512623,0.454,6.120330670161392,0.6287626426442556,18.61110599423745,26.69643584358084,10.014008328207916,6.8030310422969835,7.879528468480857,14.153398984874816,11.729064446494741,-2.6957865235828513,1.6669240567580814,1.675568955568353,-3.9341985051239594,0.8897542494241046,-0.24545668758252537,-1.169299165736618,-1.1379568239769564,0.9211204092392341,0.23599240872871205,1.4572057785721397,False
1,2004.02.12.10.42.39,ch1,0.07538245681139528,0.388,5.147086157867801,0.6482910813108558,34.5456200959653,22.973744077980502,10.429088566899585,9.402428157962827,8.302501837555877,10.887036091993528,14.015484478878314,-1.6623387881438858,-0.1946924072668825,1.856989405142058,-1.620696684117583,0.3109405222507834,-0.09560382463694966,-0.2547354581128466,-1.0141884044372513,-0.12051627587017515,0.9688253397143046,0.8099527109692721,False
2,2004.02.12.10.52.39,ch1,0.07622977446919937,0.503,6.5984715749518195,0.5134753088232071,41.986718379984794,27.28202309540695,15.04080205502577,9.945454195346953,11.619732906877402,14.721703248246252,15.304999398384329,-0.9347202626405775,2.581509209038024,0.6045422191738788,-0.5403377650778216,0.9808028672405711,1.56932359146629,-0.06367888461231909,-0.04351630847105867,1.102351518104051,1.382134786196931,0.9802917412021521,False
3,2004.02.12.11.02.39,ch1,0.07872367646602975,0.608,7.723216537814511,1.157952723004808,46.76812939637279,32.61867478053409,7.331799597352561,8.740903546199913,16.51444262283316,10.694886870537191,18.098974042091218,1.2068724174721208,4.732914857100594,6.591778793334702,0.1538662139562242,1.8105592497156304,-1.2137915295475314,-0.48748419741553384,1.388749952107713,-0.18179228366475864,2.277646808593196,2.0045456302908002,False
4,2004.02.12.11.12.39,ch1,0.07847429073677968,0.391,4.982523528775831,0.6031769286310373,32.12955704873991,14.287105472561796,13.532215504499439,10.810523871574109,11.547913046236223,14.266359353843756,15.04760568788878,0.9927169883633167,-0.5094668506992757,1.4378760289504553,-1.9714802865379444,-1.039680475778376,1.0246915118709803,0.24068451014375494,-0.06453188839411537,0.957143248139951,1.2996361268919439,0.9537907915770113,False
5,2004.02.12.11.22.39,ch1,0.07831464139380724,0.439,5.605592928562067,0.4560936214628657,50.05350505263658,17.016446781648096,9.121667651772999,8.232402346218294,8.673178876150203,11.77516275763265,15.814764503828899,0.855621038029614,0.6823366870763445,0.07146265782544904,0.6308636620699458,-0.6153154422726835,-0.567610798093901,-0.6663936606843661,-0.9057226839432951,0.16270556637208847,1.5455223751115008,0.6703554571479188,False
6,2004.02.12.11.32.39,ch1,0.07863244325857172,0.408,5.18869798638139,0.4786149756059883,51.1153938915353,20.33810275765041,6.9814148288178135,11.76884750096989,9.352552887161545,14.948485878150564,13.894327583084634,1.1285275709129337,-0.11509754278979183,0.2806874844185758,0.7850372846112282,-0.09885579508312214,-1.340287941091849,0.5778580825546678,-0.7069275498593086,1.1746720515538862,0.9299926835111317,0.7137943986386495,False
7,2004.02.12.11.42.39,ch1,0.07777288022464836,0.415,5.336050289011607,0.4719824550317826,39.64176211419965,28.213953688357098,13.503137237422294,11.881624784831478,19.042714581093843,11.786869552523864,13.65410166794639,0.39039355286196986,0.1667570879051617,0.2190709422606391,-0.8807975090298497,1.125701841943982,1.014193634196194,0.6175372874912987,2.1285606525420944,0.1664388401765137,0.8529965677511028,0.7562447916158807,False
8,2004.02.12.11.52.39,ch1,0.07902942984262255,0.386,4.884256419015951,0.404514320897305,48.319699743517056,17.56422968295578,12.89981350574693,8.105142125674979,8.554177556148044,7.1134039027454,12.340376017939427,1.4694325317280574,-0.6974316088770796,-0.40771235749749374,0.37913576410513766,-0.5301447424802486,0.7963808354960371,-0.7111684965229063,-0.9405442740874104,-1.3239201392306328,0.43192720824155256,0.7687797958266556,False
9,2004.02.12.12.02.39,ch1,0.07571755989830316,0.378,4.992236946194446,0.32520331504832,35.20149745536095,15.908602088170735,14.66530987819904,7.7067593260190534,16.82999559676806,11.520537531857922,7.957751665948962,-1.3745751475047696,-0.4908870821416026,-1.1445166961809927,-1.5254710967145657,-0.7875659955111165,1.4337628673795202,-0.851334248077775,1.4810855356703028,0.08150608400616459,-0.9727715801651445,1.0143476333351953,False
10,2004.02.12.12.12.39,ch1,0.07924111648011797,0.415,5.237180121056545,0.4552119318712826,51.91692790283002,28.83651738072109,12.049620837003692,14.820325461229011,14.219363913594576,7.269275421963159,11.949083360040598,1.6512145560072964,-0.022361196494199605,0.06327170488649057,0.901410484502388,1.2224996522031604,0.4894430591564791,1.6514804930157718,0.7171751312558011,-1.2742130191384946,0.30651186840908756,0.8299581165069169,False
11,2004.02.12.12.22.39,ch1,0.077638908086269,0.474,6.105186325821477,0.6415150749455005,56.28580738579713,23.72034211704288,7.868972448725076,8.602628309020979,11.127205189844604,19.85027585451563,9.426610087671964,0.2753474318608499,1.6379560426527582,1.7940398707678868,1.5357197941603347,0.4270235129735725,-1.0198606165063917,-0.5361345220714989,-0.18763738458031287,2.7378432084425475,-0.5019797715087216,1.0653542155524875,False
12,2004.02.12.12.32.39,ch1,0.07740458087623109,0.4,5.167652811654581,0.3647260382142652,40.85956530125633,10.560086301799805,6.920511369358544,9.294765311323731,14.288375402745338,8.946674749741716,17.03642597837936,0.07412323042622078,-0.1553526310690784,-0.7773480593249273,-0.7039869785739822,-1.6191670390789723,-1.3622753953537723,-0.29261521553896774,0.7373689391093552,-0.7392936814249956,1.9370837445829183,0.839861491448319,False
13,2004.02.12.12.42.39,ch1,0.07986468720103242,0.432,5.409149088790465,0.5982531546782233,49.60067155244757,19.175333147145405,7.59010665152794,8.0386008666149,7.9874832805707525,11.225939553672156,12.00834663470612,2.186694495932859,0.30658004857934007,1.3921338526623628,0.5651176267273079,-0.27964621622929453,-1.1205371464691514,-0.7345801638780697,-1.1063676094992423,-0.012440630275379441,0.32550666317899835,0.8029604453432004,False
14,2004.02.12.12.52.39,ch1,0.07921698007145074,0.422,5.327140716792938,0.5511103583412886,52.13832046155878,19.681945199238932,14.511564033449806,9.989279930490811,13.166893915377388,14.146612382158501,8.908029596178645,1.6304878569663355,0.149714909788374,0.9541742465912396,0.9335540493771216,-0.20087686636992189,1.378257322055854,-0.04825937576507709,0.4092064556458861,0.9189561750165204,-0.6681928277934048,0.7291680085369734,False
15,2004.02.12.13.02.39,ch1,0.07866177721938719,0.371,4.716394837676797,0.5530516614826197,51.47651384124228,15.723625647088197,9.265724768190061,10.48066406060897,12.250340347287093,11.840876271343493,10.93121526376915,1.1537175727016877,-1.0185162690533793,0.9722090774690147,0.8374676038487783,-0.8163266101533481,-0.5156030913651388,0.1246276714659608,0.1410089878145407,0.18366147630415194,-0.019730576016011227,0.578286893619201,False
16,2004.02.12.13.12.39,ch1,0.07845338360094803,0.439,5.59567962336675,0.47996609907349486,33.29660967820411,20.558752154127475,8.185102747496376,12.609032185738485,10.565575432691974,12.036871544414932,9.605017355627245,0.9747633682466905,0.6633745743375682,0.29323950821778794,-1.8020381330942483,-0.06454865723368013,-0.9057308027526964,0.8734660201644033,-0.3519787651293106,0.24616398237418619,-0.44479748687465004,0.6620101298425223,False
